brand,model,color,year,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,price_in_euro
audi,Q5,black,2016,230.0,Automatic,Petrol,5.8,139.0,120967.0,24900.0
fiat,500,blue,2023,69.0,Manual,Petrol,6.9,139.0,10.0,18480.0
audi,Q5,green,2021,204.0,Automatic,Diesel,5.4,143.0,34750.0,60840.0
ford,Focus,grey,2019,120.0,Automatic,Diesel,4.0,104.0,120980.0,12699.0
kia,Picanto,white,2019,67.0,Manual,Petrol,4.6,106.0,29450.0,11980.0
fiat,500,white,2009,69.0,Manual,Petrol,5.1,119.0,116267.0,6899.0
bmw,116,blue,2013,116.0,Manual,Diesel,4.3,114.0,143700.0,5555.0
bmw,X3,grey,2016,245.0,Automatic,Petrol,5.8,139.0,97000.0,23998.0
audi,A3,grey,2018,116.0,Automatic,Petrol,4.7,109.0,92850.0,17990.0
bmw,325,silver,2009,197.0,Manual,Diesel,5.9,139.0,307007.0,8500.0
citroen,C5 Aircross,black,2020,181.0,Automatic,Hybrid,1.4,120.0,43545.0,27880.0
bmw,X5,black,2016,313.0,Automatic,Diesel,6.0,159.0,184500.0,27900.0
audi,A6 allroad,black,2015,218.0,Automatic,Diesel,5.7,149.0,105500.0,11990.0
kia,Ceed / cee'd,black,2020,101.0,Manual,Petrol,5.2,118.0,48509.0,14999.0
alfa-romeo,Alfa Romeo Giulietta,red,2018,150.0,Manual,Diesel,4.2,110.0,65700.0,17700.0
hyundai,i10,white,2012,69.0,Manual,Petrol,4.7,111.0,158000.0,3099.0
bmw,M4,grey,2017,450.0,Automatic,Petrol,8.7,203.0,25700.0,61890.0
ford,Fiesta,grey,2017,60.0,Manual,Petrol,5.2,123.0,115000.0,7990.0
audi,A5,white,2015,190.0,Automatic,Diesel,4.5,119.0,112000.0,22000.0
audi,A6,grey,2009,290.0,Automatic,Petrol,9.5,139.0,200000.0,13000.0
alfa-romeo,Alfa Romeo Stelvio,black,2019,200.0,Automatic,Petrol,10.1,228.0,75250.0,32990.0
bmw,X1,silver,2018,150.0,Automatic,Diesel,4.8,127.0,74537.0,24252.0
kia,Picanto,white,2017,84.0,Automatic,Petrol,5.9,139.0,60000.0,14600.0
bmw,525,grey,2011,204.0,Automatic,Diesel,6.1,139.0,197000.0,7000.0
dacia,Sandero,grey,2023,91.0,Manual,Petrol,5.1,116.0,10.0,16990.0
bmw,420,black,2015,184.0,Automatic,Diesel,4.8,139.0,110773.0,21400.0
ford,Crown,silver,2007,250.0,Automatic,Petrol,5.8,139.0,250000.0,11990.0
bmw,118,black,2008,129.0,Manual,Petrol,7.3,139.0,261372.0,2500.0
bmw,116,silver,2017,116.0,Manual,Diesel,4.0,104.0,98907.0,16990.0
alfa-romeo,Alfa Romeo 147,white,2008,105.0,Manual,Petrol,8.2,196.0,197000.0,3300.0
audi,A5,red,2014,170.0,Manual,Petrol,6.2,147.0,35880.0,21990.0
audi,A6,grey,2018,286.0,Automatic,Diesel,4.9,118.0,160800.0,30490.0
audi,A5,blue,2010,160.0,Automatic,Petrol,7.2,169.0,129000.0,9150.0
hyundai,i10,blue,2021,67.0,Manual,Petrol,4.8,109.0,8105.0,14490.0
